h3_index,priority_score,priority_tier,recommended_action,violation_count,severity_mean,recurrence_score,is_hotspot,hotspot_rank,congestion_score,police_station,top_violation,top_vehicle,lat,lng
89618920923ffff,1.0,IMMEDIATE,Deploy patrol unit — critical hotspot with high recurrence,6749,0.7683360497851534,0.375858330321648,True,2,1.0,HAL Old Airport,NO PARKING,SCOOTER,12.933223647523132,77.69077993064658
8960145b553ffff,0.9716713840285487,IMMEDIATE,Deploy patrol unit — critical hotspot with high recurrence,12123,0.8010228491297533,0.12329333884981382,True,1,0.9950943930366112,Upparpet,NO PARKING,SCOOTER,12.976409087424585,77.5759204607417
89601690193ffff,0.8867380322976284,IMMEDIATE,Deploy patrol unit — critical hotspot with high recurrence,2548,0.7737441130298273,0.07623126338329765,True,3,0.90649267095639,Chikkajala,NO PARKING,CAR,13.185608135049264,77.68064176165208
8961892cc57ffff,0.8743549252786657,IMMEDIATE,Deploy patrol unit — critical hotspot with high recurrence,373,0.8967828418230563,0.2196078431372549,True,7,0.7055758806661105,K.G. Halli,NO PARKING,CAR,13.035039416000531,77.62445884662056
89618926397ffff,0.8502941487157444,IMMEDIATE,Deploy patrol unit — critical hotspot with high recurrence,1122,0.742602495543672,0.10355987055016182,True,4,0.7656328240007084,Electronic City,WRONG PARKING,SCOOTER,12.840364438188738,77.64644298941454
89601690c2bffff,0.8317620546272824,IMMEDIATE,Deploy patrol unit — critical hotspot with high recurrence,825,0.7721212121212121,0.048177083333333336,True,8,0.7546664350276724,Chikkajala,NO PARKING,CAR,13.191039786640756,77.64517618448407
89601696683ffff,0.8275960548222188,IMMEDIATE,Deploy patrol unit — critical hotspot with high recurrence,371,0.8207547169811321,0.11455108359133127,True,6,0.6705709179790452,Yelahanka,NO PARKING,SCOOTER,13.09817031930295,77.60083855243236
8961892eecbffff,0.822492318514862,IMMEDIATE,Deploy patrol unit — critical hotspot with high recurrence,71,0.8971830985915493,0.2916666666666667,True,26,0.4215895290565633,Banaswadi,NO PARKING,SCOOTER,13.003906877746225,77.66307502288336
8960145a423ffff,0.8160697421003741,IMMEDIATE,Deploy patrol unit — critical hotspot with high recurrence,323,0.8643962848297213,0.0429042904290429,True,14,0.6260017809435005,Banashankari,NO PARKING,SCOOTER,12.926261301857247,77.55162135202855
89618924823ffff,0.8159851000434672,IMMEDIATE,Deploy patrol unit — critical hotspot with high recurrence,286,0.8783216783216784,0.04797047970479705,True,9,0.6135618518043349,Thalagattapura,NO PARKING,SCOOTER,12.888810734815376,77.56362631625919
896189219cfffff,0.8036961578940928,IMMEDIATE,Deploy patrol unit — critical hotspot with high recurrence,553,0.6019891500904159,0.19168591224018475,True,11,0.6809075577736741,Mahadevapura,PARKING ON FOOTPATH,MOTOR CYCLE,12.987597932862963,77.73570523171428
