h3_index,violation_count,severity_mean,severity_sum,hour_peak,hour_std,weekday_pct,vehicle_diversity,top_violation,top_vehicle,police_station,unique_vehicles,recurrence_score,lat,lng
8960145b553ffff,12123,0.8010228491297533,9710.8,9,3.344295090433017,0.6439825125793945,21,NO PARKING,SCOOTER,Upparpet,9668,0.12329333884981382,12.976409087424585,77.5759204607417
8960145b59bffff,8585,0.7276412347117064,6246.799999999999,0,6.899493422440552,0.722422830518346,17,WRONG PARKING,SCOOTER,City Market,7136,0.11280829596412556,12.96465116440439,77.57632508363632
8960145b427ffff,7369,0.8142353100827793,6000.1,1,3.910274965541865,0.6749898222282535,19,NO PARKING,CAR,Upparpet,5676,0.14288231148696265,12.97746783062643,77.57894671319185
89618920923ffff,6749,0.7683360497851534,5185.5,4,2.666242155258883,0.8293080456363906,19,NO PARKING,SCOOTER,HAL Old Airport,2767,0.375858330321648,12.933223647523132,77.69077993064658
8961892e9abffff,6667,0.7659217039148042,5106.4,10,2.1773423604687983,0.6154192290385481,16,WRONG PARKING,SCOOTER,Shivajinagar,4603,0.15685422550510536,12.981645967305287,77.60790407487231
8960145b5cbffff,5992,0.800016688918558,4793.7,9,2.886884549078032,0.6496995994659546,18,NO PARKING,SCOOTER,Upparpet,4553,0.13705249286184934,12.974263654955623,77.57829127810561
8961892e917ffff,4874,0.7696553139105456,3751.2999999999997,10,2.599669365233162,0.628846942962659,17,WRONG PARKING,SCOOTER,Shivajinagar,3813,0.13349068974560713,12.982704611494386,77.61093157697483
8960145b3a7ffff,4293,0.76743535988819,3294.6,7,2.674339608934557,0.7137200093174936,14,WRONG PARKING,SCOOTER,Rajajinagar,3207,0.14842531961334582,13.000003175983794,77.54984346680071
8961892e9bbffff,4257,0.7898989898989899,3362.6,10,2.0480684601230092,0.5029363401456425,12,WRONG PARKING,PASSENGER AUTO,Shivajinagar,3477,0.10612597066436583,12.979499946671595,77.61027556237418
8960145a26bffff,3653,0.7866411168902272,2873.6,4,2.8690961391289487,0.8220640569395018,13,WRONG PARKING,SCOOTER,Vijayanagara,1988,0.29225352112676056,12.97437379053479,77.54460425854465
8961892e2bbffff,3332,0.7131152460984393,2376.1,0,7.577573697956921,0.6803721488595438,17,WRONG PARKING,SCOOTER,K.R. Pura,2735,0.1316270566727605,13.009140358493172,77.69509425538708
8961892e937ffff,3079,0.7849626502111076,2416.9,10,3.7027624004285564,0.6745696654758039,18,WRONG PARKING,PASSENGER AUTO,Shivajinagar,2678,0.09596713965646005,12.982733210890897,77.60250530686746
8960145b543ffff,2914,0.736684969114619,2146.7,9,4.088059866390259,0.6640356897735072,19,WRONG PARKING,CAR,Upparpet,2588,0.08809891808346214,12.978554434046352,77.57354967361115
896016964b7ffff,2804,0.7566690442225391,2121.7,11,2.561826971815657,0.6907988587731811,9,WRONG PARKING,SCOOTER,Kodigehalli,2177,0.13872301332108405,13.07255955260552,77.58716314506412
89618925b7bffff,2655,0.7887005649717514,2094.0,10,2.6144082911230986,0.7103578154425612,16,WRONG PARKING,SCOOTER,Halasuru Gate,2465,0.05557809330628803,12.964622554379812,77.58474838218396
8960145b30fffff,2592,0.7776620370370371,2015.7,9,2.298175469649907,0.6435185185185185,13,WRONG PARKING,PASSENGER AUTO,Malleshwaram,2234,0.09579230080572963,13.010673683143166,77.55483414866346
89601690193ffff,2548,0.7737441130298273,1971.5,5,4.340748702971255,0.6927001569858713,10,NO PARKING,CAR,Chikkajala,2335,0.07623126338329765,13.185608135049264,77.68064176165208
